model_id                                                    rmse      mse       mae       rmsle    mean_residual_deviance
-------------------------------------------------------  -------  -------  --------  ----------  ------------------------
StackedEnsemble_AllModels_3_AutoML_2_20240106_225612     1.95737  3.83129  0.973665    0.585647                   3.83129
GBM_grid_1_AutoML_2_20240106_225612_model_41             1.95739  3.83136  0.972678    0.585451                   3.83136
StackedEnsemble_BestOfFamily_4_AutoML_2_20240106_225612  1.9574   3.8314   0.973031    0.585443                   3.8314
GLM_1_AutoML_2_20240106_225612                           1.95747  3.8317   0.975231  nan                          3.8317
GBM_grid_1_AutoML_2_20240106_225612_model_35             1.95748  3.83174  0.973188    0.585252                   3.83174
StackedEnsemble_BestOfFamily_2_AutoML_2_20240106_225612  1.95755  3.83201  0.973829    0.585559                   3.83201
StackedEnsemble_BestOfFamily_3_AutoML_2_20240106_225612  1.95764  3.83235  0.973575    0.586988                   3.83235
GBM_grid_1_AutoML_2_20240106_225612_model_1              1.95764  3.83236  0.970557    0.584366                   3.83236
GBM_grid_1_AutoML_2_20240106_225612_model_6              1.95773  3.83271  0.976907    0.586635                   3.83271
StackedEnsemble_AllModels_2_AutoML_2_20240106_225612     1.95775  3.83278  0.973953    0.585719                   3.83278
[95 rows x 6 columns]
