,SHAPE,fid_1,id,no,num_incidence,objectid_1,pop2000,yes
0,"{'x': -79.97274830899988, 'y': 40.437756305000164, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",0,1,1,0,1,0,0
1,"{'x': -79.97639852099996, 'y': 40.43720295300017, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",8,9,1,0,2,96,0
2,"{'x': -79.98023401899997, 'y': 40.43833489900004, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",12,13,1,0,3,5,0
3,"{'x': -79.9818761219999, 'y': 40.43839959000019, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",13,14,1,0,4,3,0
4,"{'x': -79.98428402499985, 'y': 40.437456611000016, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",25,26,1,0,5,15,0
5,"{'x': -79.98319929899998, 'y': 40.43677839000014, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",28,29,1,0,6,8,0
6,"{'x': -79.98183133499987, 'y': 40.437055132000125, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",30,31,1,0,7,42,0
7,"{'x': -79.98873209699991, 'y': 40.43516450700008, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",51,52,4,0,8,0,0
8,"{'x': -79.98717537399989, 'y': 40.437418760000185, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",70,71,2,0,9,0,0
9,"{'x': -79.9918783149999, 'y': 40.4381269750001, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",72,73,1,0,10,536,0
10,"{'x': -80.00282210799998, 'y': 40.44136909700012, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",96,97,4,0,11,0,0
11,"{'x': -80.00207481099989, 'y': 40.44140987399999, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",99,100,1,0,12,0,0
12,"{'x': -79.99804680999995, 'y': 40.438279253000076, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",126,127,17,0,13,0,0
13,"{'x': -80.00248718899991, 'y': 40.43904021600008, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",134,135,2,0,14,483,0
14,"{'x': -80.00278954699996, 'y': 40.438536631000034, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",135,136,1,0,15,0,0
15,"{'x': -79.99740365899993, 'y': 40.43581131800005, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",158,159,1,0,16,0,0
16,"{'x': -79.99872334199995, 'y': 40.442732813000134, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",170,171,1,0,17,0,0
17,"{'x': -79.99934706799996, 'y': 40.44274572000006, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",171,172,1,0,18,0,0
18,"{'x': -80.00546001699996, 'y': 40.4425060480001, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",188,189,2,0,19,303,0
19,"{'x': -80.0012250929999, 'y': 40.44282391000013, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",193,194,3,0,20,95,0
20,"{'x': -80.00224512999995, 'y': 40.442458376000104, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",194,195,2,0,21,0,0
21,"{'x': -80.00327499999997, 'y': 40.442138365000176, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",195,196,1,0,22,0,0
22,"{'x': -80.00045656699984, 'y': 40.44201631499999, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",200,201,4,0,23,0,0
23,"{'x': -79.99760831799989, 'y': 40.44063030300009, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",206,207,3,0,24,0,0
24,"{'x': -79.99897831499999, 'y': 40.441143639000074, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",207,208,1,0,25,0,0
25,"{'x': -79.99947831499998, 'y': 40.44047697200011, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",208,209,1,0,26,0,0
26,"{'x': -79.99349085499995, 'y': 40.444194401999994, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",216,217,1,0,27,0,0
27,"{'x': -79.99622831999994, 'y': 40.44432697400015, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",222,223,2,0,28,0,0
28,"{'x': -79.99852831999982, 'y': 40.44372697100016, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",236,237,1,0,29,21,0
29,"{'x': -79.99554610699988, 'y': 40.44026493600012, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",253,254,2,0,30,0,0
30,"{'x': -79.99704498599993, 'y': 40.439534545000186, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",257,258,1,0,31,0,0
31,"{'x': -79.9946444179999, 'y': 40.439772953000045, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",260,261,1,0,32,0,0
32,"{'x': -79.99015471999985, 'y': 40.44196201100016, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",266,267,1,0,33,0,0
33,"{'x': -79.9915572349999, 'y': 40.4400329660001, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",268,269,1,0,34,0,0
34,"{'x': -79.98773145199988, 'y': 40.440288754000164, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",269,270,4,0,35,725,0
35,"{'x': -79.97038580899994, 'y': 40.46033663700007, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",291,292,1,0,36,49,0
36,"{'x': -79.97211204599995, 'y': 40.45971569800014, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",295,296,1,0,37,14,0
37,"{'x': -79.97254258599992, 'y': 40.46003825300005, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",296,297,1,0,38,0,0
38,"{'x': -79.9752860779999, 'y': 40.458152189000145, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",303,304,2,0,39,11,0
39,"{'x': -79.97992731499988, 'y': 40.45382697300005, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",331,332,1,0,40,0,0
40,"{'x': -79.98347919099996, 'y': 40.45186837200009, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",363,364,1,0,41,0,0
41,"{'x': -79.98822138499992, 'y': 40.44812794600006, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",373,374,1,0,42,0,0
42,"{'x': -79.99088473199993, 'y': 40.446474639000144, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",385,386,1,0,43,0,0
43,"{'x': -79.9837222029999, 'y': 40.446370247000175, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",403,404,1,0,44,62,0
44,"{'x': -79.98358636899997, 'y': 40.44596759100011, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",404,405,2,0,45,68,0
45,"{'x': -79.98366779499992, 'y': 40.44487221200012, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",410,411,1,0,46,44,0
46,"{'x': -79.98710498099985, 'y': 40.44416363700003, 'spatialReference': {'latestWkid': 4326, 'wkid': 4326}}",416,417,7,0,47,13,0
