,restaurant,parking_entrance,shelter,place_of_worship,fuel,fountain,parking,drinking_water,fast_food,post_office,pharmacy,post_box,bar,cinema,pub,atm,nightclub,bank,ice_cream,theatre,school,doctors,library,hospital,cafe,bicycle_parking,dentist,veterinary,university,police,social_facility,bicycle_repair_station,toilets,community_centre,clinic,fire_station,lawyer,car_wash,waste_disposal,recycling,clock,bench,waste_basket,vending_machine,public_building,estate_agent,charging_station,compressed_air,driving_school,office,childcare,bicycle_rental,internet_cafe,marketplace,insurance,training,employment_agency,dojo,courthouse,car_rental,bbq,animal_boarding,college,parking_space,events_venue,public_bookcase,loading_dock,prep_school,weighbridge,letter_box,shower,sanitary_dump_station,gambling,bunker,yes,crossing,traffic_signals,give_way,motorway_junction,turning_circle,turning_loop,bus_stop,stop,mini_roundabout,street_lamp,platform,stop_position,healthcare,administrative,environment,playground,sports_centre,swimming_pool,fitness_centre,picnic_table,pitch,golf_course,slipway,firepit,amusement_arcade,dance,horse_riding,park,dog_park,garden,company,government,accountant,financial,consulting,financial_advisor,tax_advisor,restaurant_neighbour_count,parking_entrance_neighbour_count,shelter_neighbour_count,place_of_worship_neighbour_count,fuel_neighbour_count,fountain_neighbour_count,parking_neighbour_count,drinking_water_neighbour_count,fast_food_neighbour_count,post_office_neighbour_count,pharmacy_neighbour_count,post_box_neighbour_count,bar_neighbour_count,cinema_neighbour_count,pub_neighbour_count,atm_neighbour_count,nightclub_neighbour_count,bank_neighbour_count,ice_cream_neighbour_count,theatre_neighbour_count,school_neighbour_count,doctors_neighbour_count,library_neighbour_count,hospital_neighbour_count,cafe_neighbour_count,bicycle_parking_neighbour_count,dentist_neighbour_count,veterinary_neighbour_count,university_neighbour_count,police_neighbour_count,social_facility_neighbour_count,bicycle_repair_station_neighbour_count,toilets_neighbour_count,community_centre_neighbour_count,clinic_neighbour_count,fire_station_neighbour_count,lawyer_neighbour_count,car_wash_neighbour_count,waste_disposal_neighbour_count,recycling_neighbour_count,clock_neighbour_count,bench_neighbour_count,waste_basket_neighbour_count,vending_machine_neighbour_count,public_building_neighbour_count,estate_agent_neighbour_count,charging_station_neighbour_count,compressed_air_neighbour_count,driving_school_neighbour_count,office_neighbour_count,childcare_neighbour_count,bicycle_rental_neighbour_count,internet_cafe_neighbour_count,marketplace_neighbour_count,insurance_neighbour_count,training_neighbour_count,employment_agency_neighbour_count,dojo_neighbour_count,courthouse_neighbour_count,car_rental_neighbour_count,bbq_neighbour_count,animal_boarding_neighbour_count,college_neighbour_count,parking_space_neighbour_count,events_venue_neighbour_count,public_bookcase_neighbour_count,loading_dock_neighbour_count,prep_school_neighbour_count,weighbridge_neighbour_count,letter_box_neighbour_count,shower_neighbour_count,sanitary_dump_station_neighbour_count,gambling_neighbour_count,bunker_neighbour_count,yes_neighbour_count,crossing_neighbour_count,traffic_signals_neighbour_count,give_way_neighbour_count,motorway_junction_neighbour_count,turning_circle_neighbour_count,turning_loop_neighbour_count,bus_stop_neighbour_count,stop_neighbour_count,mini_roundabout_neighbour_count,street_lamp_neighbour_count,platform_neighbour_count,stop_position_neighbour_count,healthcare_neighbour_count,administrative_neighbour_count,environment_neighbour_count,playground_neighbour_count,sports_centre_neighbour_count,swimming_pool_neighbour_count,fitness_centre_neighbour_count,picnic_table_neighbour_count,pitch_neighbour_count,golf_course_neighbour_count,slipway_neighbour_count,firepit_neighbour_count,amusement_arcade_neighbour_count,dance_neighbour_count,horse_riding_neighbour_count,park_neighbour_count,dog_park_neighbour_count,garden_neighbour_count,company_neighbour_count,government_neighbour_count,accountant_neighbour_count,financial_neighbour_count,consulting_neighbour_count,financial_advisor_neighbour_count,tax_advisor_neighbour_count
891f5224587ffff,5,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,2,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,2,0,4,2,4,2,2,0,0,4,0,2,0,0,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,87,28,0,0,0,0,32,0,0,54,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
891f53c9327ffff,22,3,0,2,0,0,0,0,8,0,8,0,4,0,2,16,0,4,4,4,2,6,0,0,6,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,44,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,68,8,0,0,0,0,6,0,0,10,14,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,88,17,2,2,0,1,0,0,67,4,12,5,16,2,7,40,2,5,12,6,8,26,4,0,56,230,6,0,0,2,0,4,6,8,4,0,2,0,4,0,0,198,170,206,0,8,4,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,2,356,68,36,0,0,0,42,2,0,132,60,68,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,8,2,0,0,0,0
891f53d9a13ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891f5224ba3ffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891f5224b23ffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891f53516abffff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891f535167bffff,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891f53c9ebbffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,106,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,1,0,5,0,0,6,0,3,0,7,0,0,0,0,0,2,0,6,2,4,0,6,44,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,202,24,58,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,4,0,2,0,20,0,0,94,20,18,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
891f5226867ffff,6,11,0,0,0,0,0,0,2,2,4,0,0,2,0,2,0,4,0,0,0,0,0,0,4,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,47,2,0,2,0,0,0,10,2,4,4,2,2,0,16,0,11,0,0,10,6,0,0,8,52,4,0,0,0,0,8,5,0,2,0,0,1,0,0,0,82,110,8,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,52,14,0,6,0,26,14,0,120,34,34,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,20,4,2,2,0,0,0
891f53c90d3ffff,4,10,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,38,22,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,22,0,2,0,8,0,0,114,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,0,0,1,2,0,0,0,0,3,2,0,0,2,5,0,0,0,0,2,2,0,0,8,24,6,0,0,4,2,0,0,0,0,0,0,4,0,0,0,103,87,28,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,8,24,0,2,0,24,0,0,380,32,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
